,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4281794509,1,88,40,53,76,14,86,1,20,28,12
1,4281783938,0,3,14,93,94,86,59,1,4,22,6
2,4281783846,1,14,113,1,7,15,10,20,9,46,96
3,4281783810,0,41,44,26,28,86,2,1,36,74,95
4,4281783240,1,95,1,104,68,35,61,57,54,63,81
5,4281783086,1,84,9,99,33,80,1,48,14,47,28
6,4281782908,1,62,80,44,53,17,46,93,32,1,83
7,4281782463,1,28,86,44,30,26,14,98,74,1,42
8,4281781582,0,40,83,86,96,8,44,93,84,1,36
9,4281780977,1,1,104,96,93,21,109,74,51,50,44
10,4281780459,1,95,98,84,79,17,10,37,75,53,1
11,4281780092,1,1,44,34,26,5,32,9,48,14,86
12,4281779542,1,1,8,93,86,51,76,21,74,44,32
13,4281779171,0,59,114,14,20,44,22,26,35,1,86
14,4281778996,1,95,100,74,1,21,46,35,14,5,31
15,4281778410,0,104,38,21,4,40,36,87,49,1,84
16,4281778339,1,41,1,39,6,75,59,85,11,22,104
17,4281778115,1,95,97,50,29,11,35,87,1,78,74
18,4281778088,1,64,94,42,82,41,110,1,14,55,86
19,4281777603,1,26,62,41,1,86,21,14,33,22,88
20,4281777426,1,12,74,31,109,86,101,1,66,95,44
21,4281776829,0,52,72,12,89,22,65,1,69,88,26
22,4281776308,0,114,1,92,2,31,76,121,14,71,53
23,4281776263,1,99,74,120,14,72,71,1,7,27,21
24,4281776181,1,31,10,41,48,101,93,45,47,1,62
25,4281775836,1,41,44,35,58,26,1,25,56,114,8
26,4281775808,0,72,79,74,32,94,99,41,64,97,1
27,4281775320,0,99,34,35,2,31,48,9,21,1,20
28,4281775129,1,50,6,109,98,121,67,36,85,1,39
29,4281775090,1,33,60,62,8,100,7,1,44,35,26
30,4281774751,1,70,31,18,25,1,56,16,27,47,41
31,4281774377,0,114,6,93,111,34,14,40,54,91,1
32,4281772993,1,50,1,90,81,73,8,74,6,99,42
33,4281772955,0,35,86,94,40,17,8,44,59,20,1
34,4281772842,0,1,20,15,48,6,2,50,3,87,94
35,4281772585,0,26,98,1,114,75,35,99,54,44,17
36,4281772500,0,106,19,76,84,1,63,101,36,49,11
37,4281772371,1,50,59,14,86,36,44,67,2,1,89
38,4281772340,1,53,63,35,58,6,119,20,1,103,18
39,4281772288,1,93,114,99,2,17,95,86,1,62,6
40,4281772063,1,86,83,5,59,1,16,102,70,13,39
41,4281771979,1,47,81,121,1,35,17,86,70,44,100
42,4281771898,1,70,48,27,17,68,14,79,41,1,92
43,4281771874,1,99,2,10,1,93,23,26,27,35,3
44,4281771774,1,5,74,2,79,31,14,10,44,1,30
45,4281771571,0,22,36,14,74,35,1,83,30,75,86
46,4281771566,1,93,86,5,1,2,32,14,8,74,98
47,4281771463,1,36,62,28,1,50,101,8,31,47,38
48,4281771200,0,34,86,62,74,5,41,1,50,14,121
49,4281771187,0,48,97,35,32,8,78,26,27,1,53
50,4281770730,1,54,93,74,68,88,32,1,34,39,8
51,4281770635,0,62,121,28,26,90,86,82,1,6,45
52,4281770393,1,22,121,83,51,85,9,1,95,43,4
53,4281770370,0,1,14,57,84,90,69,11,70,38,34
54,4281770364,0,26,35,10,2,1,95,44,32,53,25
55,4281770085,0,93,95,1,21,70,35,26,22,25,6
56,4281769955,0,17,121,89,114,53,26,1,109,82,76
57,4281769907,1,92,104,31,44,93,84,6,4,59,1
58,4281769713,1,32,54,36,110,89,59,48,44,1,15
59,4281769578,1,93,1,32,71,8,100,9,85,114,36
60,4281769549,1,75,1,98,103,106,96,16,5,7,26
61,4281769477,0,34,14,86,99,100,1,62,113,53,26
62,4281769428,0,5,27,29,22,14,23,1,70,43,2
63,4281769413,0,121,71,35,15,100,50,1,12,99,26
64,4281769369,1,1,35,31,28,54,105,32,14,86,34
65,4281769350,1,14,28,100,46,104,40,1,92,6,35
66,4281769306,0,46,113,85,99,101,84,1,26,23,44
67,4281769275,0,34,44,99,61,6,35,1,7,74,62
68,4281769232,1,70,1,27,97,9,86,14,34,59,42
69,4281768992,0,114,74,44,23,35,95,81,1,2,36
70,4281768978,0,36,104,44,105,21,5,14,1,46,35
71,4281768942,1,84,104,95,7,1,93,120,121,21,74
72,4281768924,1,29,44,1,12,2,45,35,64,32,5
73,4281768910,1,87,20,100,113,28,14,41,1,109,63
74,4281768895,1,65,45,1,96,47,35,92,70,74,105
75,4281768777,1,35,105,14,2,50,23,93,1,74,84
76,4281768762,0,1,97,26,121,2,39,7,44,25,27
77,4281768717,0,75,59,72,2,108,1,44,121,26,68
78,4281768553,0,78,41,1,14,54,114,72,27,59,74
79,4281768508,0,71,99,1,74,14,40,85,83,12,8
80,4281768500,1,53,1,11,75,45,36,38,66,110,26
81,4281768449,1,86,41,8,1,83,30,105,51,97,74
82,4281768331,1,114,22,1,61,4,54,62,2,33,120
83,4281768282,0,16,30,35,38,1,8,21,44,2,32
84,4281768243,0,19,108,93,14,70,1,86,34,27,4
85,4281768195,0,62,1,102,98,28,86,71,8,41,79
86,4281768176,1,9,22,6,95,56,40,93,54,1,59
87,4281768170,1,29,22,99,10,57,41,48,1,81,105
88,4281768147,0,44,33,74,1,7,26,102,8,97,35
89,4281768120,0,47,104,56,35,14,1,86,74,21,102
90,4281767825,1,93,1,84,14,114,35,62,6,31,83
91,4281767686,0,104,58,74,1,27,93,60,103,14,86
92,4281767543,1,93,22,9,95,86,90,31,39,59,1
93,4281767489,0,69,86,26,104,44,101,17,1,100,14
94,4281767446,0,71,35,1,5,41,93,26,88,9,62
95,4281767435,0,14,74,7,6,26,104,1,18,71,102
