,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4326250935,0,103,54,48,29,77,47,86,51,74,1
1,4326248888,0,100,35,102,58,114,1,5,74,40,108
2,4326248648,1,93,58,21,114,104,44,1,14,2,8
3,4326248054,1,92,1,35,44,26,14,112,80,23,105
4,4326248013,1,99,77,37,103,100,87,1,81,18,91
5,4326247840,0,33,114,74,45,8,14,86,1,25,109
6,4326247702,1,114,93,59,38,26,1,8,17,64,14
7,4326247701,1,104,44,8,23,35,109,114,95,5,1
8,4326246924,0,35,8,113,86,1,9,6,10,25,99
9,4326246498,0,106,1,78,20,35,83,2,74,82,70
10,4326246454,1,38,8,1,14,37,4,101,27,71,40
11,4326246402,1,93,59,35,25,14,1,70,81,71,6
12,4326246328,1,102,6,101,26,1,95,14,74,86,53
13,4326246269,0,67,95,17,12,35,93,18,8,101,1
14,4326246206,0,95,35,2,75,14,99,44,10,34,1
15,4326246183,1,63,41,23,103,7,95,1,81,4,12
16,4326245982,1,34,23,7,35,93,30,8,1,59,25
17,4326245883,0,43,33,22,1,63,32,29,50,28,2
18,4326245847,1,44,17,1,99,32,35,75,114,14,121
19,4326245686,1,18,93,1,70,35,6,7,14,98,12
20,4326245628,0,1,6,104,46,93,11,44,8,47,2
21,4326245168,0,26,34,119,35,1,8,114,7,23,14
22,4326244745,1,41,93,1,23,35,4,59,44,8,58
23,4326244454,0,107,99,56,50,1,62,104,7,8,93
24,4326241890,1,95,26,81,8,48,49,41,71,99,1
25,4326241811,1,85,74,1,44,84,104,53,121,113,34
26,4326241719,1,41,26,114,12,20,66,2,70,15,1
27,4326241694,1,16,111,59,1,68,71,41,120,50,21
28,4326241660,1,28,1,93,48,59,35,73,76,26,14
29,4326241635,1,86,104,98,100,77,121,31,1,38,92
30,4326241634,1,64,11,103,44,83,2,30,6,1,5
31,4326241604,1,1,6,23,59,7,56,26,16,15,121
32,4326241426,0,1,11,62,48,14,101,32,98,74,30
33,4326241294,1,4,18,8,1,51,74,121,40,85,14
34,4326241220,1,41,14,21,2,107,48,4,74,1,6
35,4326241108,0,70,1,36,101,44,102,21,59,69,32
36,4326241098,1,7,1,62,12,101,104,74,32,6,9
37,4326241091,1,7,29,84,11,28,114,109,1,59,3
38,4326240719,1,1,62,33,2,47,18,96,67,32,8
39,4326240642,1,34,44,11,93,49,28,32,41,37,1
40,4326240557,1,59,97,84,100,27,35,8,14,1,104
41,4326240545,1,1,2,34,27,85,44,55,94,50,98
42,4326240514,0,18,20,34,82,5,62,95,2,93,1
43,4326240473,1,27,45,114,1,47,44,108,34,35,95
44,4326240429,0,17,1,6,42,26,20,23,41,44,35
45,4326240419,0,44,6,48,93,1,70,26,2,14,59
46,4326240186,1,101,74,10,30,33,81,86,106,6,1
47,4326240141,0,26,5,44,1,17,113,8,21,45,82
48,4326239937,1,35,29,21,86,93,38,111,120,74,1
49,4326239750,1,26,112,34,114,14,7,12,18,23,1
50,4326239747,1,59,27,45,14,1,2,36,73,86,93
51,4326239744,1,28,62,1,93,22,96,41,84,14,56
52,4326239699,1,14,71,9,54,46,83,82,44,6,1
53,4326239632,1,84,34,26,18,14,87,104,1,35,39
54,4326239604,1,69,70,1,47,7,93,74,73,3,64
55,4326239528,0,37,62,1,48,99,26,89,10,18,75
56,4326239478,1,20,41,1,5,99,8,93,6,45,106
57,4326239476,0,1,26,15,23,30,74,28,93,41,44
58,4326239435,0,65,29,79,97,72,43,41,46,32,1
59,4326239417,1,74,73,1,114,99,97,53,105,68,14
60,4326239381,0,74,11,67,41,7,26,109,1,8,44
61,4326239369,1,43,99,16,1,44,74,14,71,48,25
62,4326239336,1,94,61,63,109,35,98,64,1,95,87
63,4326239297,0,23,101,36,29,28,1,22,86,93,32
64,4326239247,1,35,114,19,41,85,6,94,2,1,29
65,4326239236,0,59,38,121,100,5,34,81,27,1,8
66,4326239194,0,26,77,104,95,71,1,82,6,87,15
67,4326239124,1,1,47,14,42,64,72,27,26,100,62
68,4326239042,1,74,93,22,104,2,16,35,17,1,14
69,4326239035,1,1,60,64,26,34,86,8,44,2,51
70,4326239020,0,29,99,105,5,54,120,1,35,101,62
71,4326238923,0,13,6,35,39,14,26,1,99,84,93
72,4326238787,1,18,83,15,1,44,71,27,35,70,8
73,4326238700,0,48,71,35,1,44,57,13,110,112,11
74,4326238696,0,74,8,14,76,71,101,88,44,1,26
75,4326238684,1,4,104,26,33,44,7,49,74,50,1
76,4326238603,1,5,86,2,45,79,114,23,76,1,119
77,4326238530,0,75,10,1,59,106,84,88,95,86,14
78,4326238463,1,35,26,3,84,14,1,30,94,63,95
79,4326238442,1,104,14,93,17,9,1,71,7,75,98
80,4326238440,1,14,42,65,31,34,21,75,71,1,15
81,4326238426,1,93,1,53,7,121,97,92,114,107,27
82,4326238396,0,8,78,85,11,27,44,1,7,99,101
83,4326238324,1,26,35,95,1,48,31,59,28,25,32
84,4326238231,1,101,14,30,26,1,73,86,72,76,56
85,4326238200,0,25,81,22,6,75,50,8,1,5,62
86,4326238160,1,44,63,62,19,23,74,26,98,2,1
87,4326238149,0,102,7,74,50,87,92,71,44,1,96
88,4326237948,0,74,6,1,59,90,4,34,53,41,35
89,4326237846,1,14,98,26,35,48,41,1,74,68,105
90,4326237740,0,101,99,4,6,69,1,42,7,26,75
91,4326237710,1,1,44,67,9,6,95,16,74,10,28
92,4326237603,1,71,8,74,17,14,1,93,39,44,33
93,4326237583,0,121,78,59,1,51,27,55,36,10,32
94,4326237508,1,50,8,6,84,7,21,109,1,34,49
95,4326237506,0,61,16,23,73,21,62,42,56,53,1
96,4326237441,0,22,86,106,112,58,1,26,34,70,4
97,4326237280,0,96,4,55,32,71,95,1,21,86,26
98,4326237241,0,27,14,6,95,19,56,70,87,47,1
99,4326237197,1,22,35,114,101,44,30,103,120,72,1
100,4326237184,1,36,23,48,100,74,44,11,68,1,101
101,4326237144,1,73,21,93,56,22,84,26,104,1,27
102,4326237080,0,74,17,11,44,97,28,1,86,14,2
103,4326237064,1,27,100,70,18,108,8,87,62,1,94
104,4326236891,1,96,1,4,74,109,32,36,43,62,5
105,4326236823,1,62,8,26,99,4,74,1,23,104,64
106,4326236809,0,1,93,31,95,29,35,110,20,86,44
107,4326236731,0,1,38,68,109,26,52,59,100,53,31
108,4326236683,0,99,37,16,68,1,32,35,26,101,12
109,4326236572,0,64,8,44,25,1,53,74,104,99,100
110,4326236524,1,86,26,121,100,1,19,7,93,36,44
111,4326236478,1,4,48,59,30,5,104,1,35,22,101
112,4326236461,0,1,71,29,39,13,35,109,64,48,93
113,4326236459,1,100,1,69,14,93,62,102,64,103,11
114,4326236421,1,26,58,53,1,109,59,55,50,32,14
115,4326236369,0,74,11,101,50,108,1,9,68,42,14
116,4326236204,1,32,18,100,60,68,1,36,45,69,109
117,4326236134,0,111,121,17,27,56,34,14,1,100,32
118,4326235845,1,1,58,26,8,82,96,44,73,45,105
119,4326235817,0,5,8,47,92,46,14,107,101,1,69
120,4326235790,0,33,86,4,101,1,44,70,63,26,17
121,4326235744,0,70,6,103,98,99,22,2,57,1,56
122,4326235693,0,35,70,42,44,64,7,91,84,1,74
123,4326235646,1,109,53,68,1,45,99,28,93,62,44
124,4326235642,1,14,77,92,61,121,53,1,26,41,17
125,4326235631,1,39,1,11,37,95,7,56,41,96,104
126,4326235603,1,1,26,34,41,31,69,38,22,121,53
127,4326235545,1,14,110,27,22,1,5,59,42,15,106
128,4326235538,1,93,1,29,21,3,112,72,57,35,103
129,4326235497,0,121,1,14,38,44,100,69,3,46,23
130,4326235485,0,44,35,71,40,63,105,1,91,14,27
131,4326235407,0,59,6,60,71,44,10,18,20,26,1
132,4326235261,1,62,82,4,10,1,18,44,35,99,32
133,4326235240,1,1,74,8,41,39,93,15,14,78,62
134,4326235067,1,99,86,100,71,68,105,60,27,1,48
135,4326235022,1,95,7,13,40,103,99,32,1,67,14
136,4326234985,0,97,10,38,59,27,110,114,14,1,101
137,4326234963,0,64,23,14,1,98,68,54,17,49,93
138,4326234935,0,42,43,4,13,114,1,74,27,53,44
