,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4266146737,1,8,9,10,1,109,95,46,48,81,14
1,4266142694,1,53,65,49,1,111,7,81,75,19,20
2,4266141555,1,92,26,114,87,66,11,85,29,8,1
3,4266140133,0,1,91,110,93,11,8,68,99,21,76
4,4266140124,0,20,93,97,41,1,85,106,56,74,11
5,4266138660,1,17,86,53,104,100,101,1,75,71,35
6,4266138027,1,4,1,70,18,17,44,74,86,53,83
7,4266137398,1,1,37,15,89,86,101,93,57,39,41
8,4266136336,1,62,110,47,35,6,93,59,17,99,1
9,4266135766,0,50,98,9,121,97,40,99,8,56,1
10,4266135662,0,60,70,14,23,120,74,1,84,93,42
11,4266135471,1,44,84,62,1,26,34,38,7,46,11
12,4266135120,1,74,5,1,40,14,90,26,41,11,19
13,4266135011,0,44,26,36,59,90,50,30,35,1,22
14,4266134955,0,14,99,1,6,97,104,74,7,34,35
15,4266134942,0,50,83,1,97,88,93,86,31,71,114
16,4266134744,0,11,74,6,2,1,111,19,93,17,101
17,4266134690,1,32,1,94,23,41,93,5,26,36,21
18,4266134629,0,102,48,35,1,15,72,21,103,8,11
19,4266134248,1,36,7,1,41,109,22,93,47,35,32
20,4266134158,0,82,104,26,74,14,41,36,5,1,101
21,4266133700,1,11,41,26,59,1,93,30,34,106,35
22,4266133057,1,104,109,7,50,14,5,36,1,93,13
23,4266132635,1,44,6,35,14,10,1,120,68,96,86
24,4266132531,1,85,26,17,23,84,71,44,28,20,1
25,4266132473,1,114,1,59,75,49,90,27,83,70,99
26,4266132274,0,108,121,71,1,104,59,93,8,21,53
27,4266132242,0,44,1,95,104,6,101,63,4,26,59
28,4266131784,1,54,1,27,114,48,97,71,7,47,29
29,4266131546,1,1,74,4,105,63,27,73,41,104,93
30,4266131442,0,1,27,74,63,25,64,94,23,44,58
31,4266131331,1,114,56,26,74,31,25,86,18,1,8
32,4266131330,0,120,14,11,76,81,1,2,30,6,31
33,4266131289,0,63,44,14,79,1,5,86,50,2,18
34,4266131277,0,14,1,31,28,113,71,58,26,69,74
35,4266131262,1,17,23,6,35,1,88,121,56,87,25
36,4266130995,1,101,62,120,53,95,45,19,1,2,111
37,4266130921,1,42,1,84,76,11,100,109,32,62,26
38,4266130252,1,59,71,27,54,75,14,41,1,35,64
39,4266129969,1,26,44,86,8,21,1,69,83,101,27
40,4266129907,0,67,34,95,84,93,1,91,69,35,56
41,4266129839,0,110,88,1,79,74,80,14,50,27,6
42,4266129835,0,22,14,93,23,112,5,86,26,17,1
43,4266129752,1,40,18,62,22,86,96,14,1,104,90
44,4266129610,1,75,4,121,1,11,2,95,28,99,74
45,4266129609,0,1,16,62,99,105,29,32,88,101,58
46,4266129569,0,23,44,43,14,26,74,4,1,42,50
47,4266129562,0,7,1,93,42,21,61,60,4,5,25
48,4266129513,1,99,81,84,26,8,1,34,40,75,3
49,4266129409,1,5,62,14,93,30,22,1,32,114,47
50,4266129346,0,84,71,35,44,1,6,54,93,12,70
51,4266129179,0,26,73,10,101,54,1,23,35,59,27
52,4266129012,1,101,2,1,50,19,109,14,86,110,75
53,4266128951,1,93,1,22,120,110,48,14,46,5,21
54,4266128881,1,30,95,1,106,121,11,49,14,46,72
55,4266128826,0,53,14,93,31,80,1,40,70,121,106
56,4266128824,0,41,58,8,51,84,1,7,93,34,6
57,4266128783,1,17,71,44,1,114,66,50,56,38,86
58,4266128679,0,90,46,11,88,10,31,73,1,45,35
59,4266128550,1,31,69,32,121,1,13,17,35,86,6
60,4266128483,0,6,34,44,95,1,74,82,14,63,99
61,4266128183,1,101,14,113,70,41,27,26,9,81,1
62,4266127966,0,7,23,74,86,33,71,44,87,99,1
63,4266127906,1,22,114,110,42,44,35,3,14,1,84
64,4266127802,0,23,41,4,21,95,31,14,6,105,1
65,4266127639,1,1,53,35,59,5,73,48,71,20,121
66,4266127472,1,4,95,58,81,26,15,18,93,5,1
67,4266127442,0,47,1,119,53,7,74,88,84,6,93
68,4266127396,0,121,1,41,9,84,34,16,50,73,26
69,4266127378,0,33,56,1,41,103,61,8,101,34,39
70,4266127352,0,27,84,58,42,8,26,48,1,71,22
71,4266127029,0,15,1,49,2,101,114,47,18,29,75
72,4266126969,0,18,4,1,85,47,35,104,44,114,55
73,4266126848,1,75,17,106,83,19,44,1,26,101,16
74,4266126794,0,1,54,68,4,114,39,110,50,86,87
75,4266126726,0,35,14,94,86,1,26,50,41,7,59
76,4266126716,1,81,73,14,44,8,1,4,74,28,7
77,4266126692,0,84,32,106,93,1,26,50,8,33,5
