,match_id
0,4772075701
1,4772059697
2,4772058004
3,4772057731
4,4772054962
5,4772048538
6,4772047483
7,4772043159
8,4772042511
9,4772038659
10,4772036171
11,4772035919
12,4772028530
13,4772026751
14,4772025480
15,4772024919
16,4772023530
17,4772022226
18,4772019119
19,4772018451
20,4772017927
21,4772017345
22,4772016236
23,4772015692
24,4772015486
25,4772014878
26,4772014766
27,4772013732
28,4772012965
29,4772012608
30,4772012509
31,4772012215
32,4772011703
33,4772010681
34,4772010575
35,4772009811
36,4772008325
37,4772008295
38,4772006959
39,4772006870
40,4772006774
41,4772006307
42,4772005933
43,4772004901
44,4772004717
45,4772004149
46,4772003289
47,4772002828
48,4772001500
49,4772001052
50,4772001048
51,4772001014
52,4772000963
53,4772000773
54,4772000565
55,4771999372
56,4771999187
57,4771999094
58,4771997194
59,4771996450
60,4771996312
61,4771996097
62,4771995609
63,4771994088
64,4771993800
65,4771993112
66,4771992763
67,4771992136
68,4771991876
69,4771990823
70,4771990723
71,4771990233
72,4771989972
73,4771989573
74,4771989195
75,4771989152
76,4771988384
77,4771988102
78,4771987154
79,4771987042
80,4771986801
81,4771986768
82,4771986529
83,4771986525
84,4771986151
85,4771986022
86,4771985642
87,4771984996
88,4771984636
89,4771984265
90,4771983895
91,4771983585
92,4771982620
93,4771981662
94,4771981232
95,4771980694
96,4771980331
97,4771979519
98,4771978781
99,4771978634
100,4771978397
101,4771977911
102,4771977630
103,4771975653
104,4771975651
105,4771975291
106,4771974800
107,4771974593
108,4771973611
109,4771972431
110,4771972334
111,4771971866
112,4771971774
113,4771971124
114,4771970605
115,4771970409
116,4771970159
117,4771970087
118,4771970051
119,4771969936
120,4771969824
121,4771968478
122,4771967891
123,4771967376
124,4771967369
125,4771966853
126,4771966753
127,4771966537
128,4771965393
129,4771964950
130,4771964486
131,4771964419
132,4771964043
133,4771964007
134,4771963598
135,4771962653
136,4771962579
137,4771962549
138,4771962040
139,4771962027
140,4771961706
141,4771961339
142,4771960961
143,4771959740
144,4771959557
145,4771959321
146,4771959275
147,4771959128
148,4771959011
149,4771958951
150,4771957565
151,4771957044
152,4771956330
153,4771956207
154,4771954219
155,4771954028
156,4771953895
157,4771953491
158,4771953376
159,4771952643
160,4771952547
161,4771952543
162,4771951454
163,4771951321
164,4771951020
165,4771950891
166,4771950776
167,4771950094
168,4771949916
169,4771949839
170,4771949791
171,4771949603
172,4771949135
173,4771949124
174,4771948952
175,4771948720
176,4771948070
177,4771946767
178,4771946585
179,4771946396
180,4771946394
181,4771946086
182,4771945706
183,4771945087
184,4771945034
185,4771944773
186,4771943521
187,4771943449
188,4771943184
189,4771943179
190,4771942115
191,4771942105
192,4771941852
193,4771941803
194,4771941592
195,4771941199
196,4771941197
197,4771941031
198,4771940606
199,4771940507
200,4771940035
201,4771939827
202,4771939023
203,4771938636
204,4771938609
205,4771938414
206,4771937947
207,4771937819
208,4771937721
209,4771937664
210,4771937603
211,4771936562
212,4771936241
213,4771936177
214,4771934934
215,4771934030
216,4771933426
217,4771932743
218,4771932566
219,4771932463
220,4771930397
221,4771930236
222,4771929430
223,4771928582
224,4771928425
225,4771928381
226,4771928027
227,4771927809
228,4771927320
229,4771927185
230,4771927131
231,4771926488
232,4771926410
233,4771926362
234,4771926145
235,4771924595
236,4771923962
237,4771923814
238,4771923756
239,4771923594
240,4771923175
241,4771923107
242,4771922309
243,4771922250
244,4771921691
245,4771920621
246,4771920504
247,4771920018
248,4771919841
249,4771919628
250,4771919460
251,4771919454
252,4771919237
253,4771918626
254,4771917824
255,4771917599
256,4771917380
257,4771917262
258,4771917017
259,4771916775
260,4771916766
261,4771915991
262,4771915337
263,4771915157
264,4771914920
265,4771914908
266,4771914747
267,4771914191
268,4771914173
269,4771914093
270,4771913954
271,4771913304
272,4771913303
273,4771913129
274,4771912950
275,4771912167
276,4771911641
277,4771911367
278,4771911249
279,4771909826
280,4771909550
281,4771909495
282,4771909282
283,4771909043
284,4771908996
285,4771908935
286,4771908679
287,4771908417
288,4771908135
289,4771907710
290,4771907378
291,4771907189
292,4771906866
293,4771906629
294,4771906330
295,4771906290
296,4771906244
297,4771906173
298,4771906111
299,4771905870
300,4771905777
301,4771905286
302,4771905057
303,4771904674
304,4771903787
305,4771903546
306,4771903269
307,4771902675
308,4771902346
309,4771902230
310,4771901874
311,4771901234
312,4771900684
313,4771900199
314,4771900128
315,4771899961
316,4771899893
317,4771899356
318,4771899177
319,4771899170
320,4771898899
321,4771898833
322,4771898475
323,4771898070
324,4771897737
325,4771897154
326,4771896708
327,4771894776
328,4771894383
329,4771894117
330,4771893632
331,4771893320
332,4771893260
333,4771893096
334,4771892907
335,4771891637
336,4771891519
337,4771890462
338,4771889572
339,4771889341
340,4771887841
341,4771886690
342,4771886149
343,4771886145
344,4771885263
345,4771885052
346,4771884347
347,4771884167
348,4771884163
349,4771883856
350,4771883572
351,4771883438
352,4771883328
353,4771882590
354,4771882059
355,4771881730
356,4771880673
357,4771879852
358,4771879540
359,4771879425
360,4771879348
361,4771879079
362,4771878431
363,4771878417
364,4771878374
365,4771877907
366,4771877285
367,4771877147
368,4771876479
369,4771875787
370,4771875279
371,4771874056
372,4771873204
373,4771873023
374,4771872836
375,4771872755
376,4771872525
377,4771872184
378,4771871646
379,4771871372
380,4771870610
381,4771870408
382,4771870389
383,4771870348
384,4771870344
385,4771870283
386,4771869855
387,4771869744
388,4771869184
389,4771868293
390,4771868127
391,4771867730
392,4771867332
393,4771866304
394,4771866296
395,4771865996
396,4771865990
397,4771865677
398,4771865102
399,4771864907
400,4771864715
401,4771864605
402,4771864410
403,4771863152
404,4771863078
405,4771863004
406,4771862868
407,4771862803
408,4771862564
409,4771862460
410,4771862404
411,4771862241
412,4771861840
413,4771861659
414,4771861516
415,4771861443
416,4771861440
417,4771861325
418,4771861246
419,4771860249
420,4771859709
421,4771859697
422,4771859589
423,4771859301
424,4771858583
425,4771858180
426,4771857790
427,4771857280
428,4771857155
429,4771856468
430,4771856335
431,4771856289
432,4771855670
433,4771855551
434,4771854879
435,4771854876
436,4771854410
437,4771853319
438,4771853172
439,4771853049
440,4771852816
441,4771852615
442,4771852306
443,4771851441
444,4771851377
445,4771851130
446,4771850514
447,4771850216
448,4771849654
449,4771849465
450,4771849459
451,4771848584
452,4771848260
453,4771847647
454,4771847501
455,4771846851
456,4771846630
457,4771846129
458,4771846096
459,4771846041
460,4771845075
461,4771844401
462,4771844125
463,4771843690
464,4771843684
465,4771842459
466,4771841540
467,4771841298
468,4771841191
469,4771841004
470,4771840681
471,4771840144
472,4771839569
473,4771839437
474,4771838785
475,4771838537
476,4771837835
477,4771837504
478,4771837450
479,4771836660
480,4771836483
481,4771836314
482,4771835842
483,4771835550
484,4771835162
485,4771835149
486,4771835142
487,4771834603
488,4771834099
489,4771833556
490,4771833128
491,4771832948
492,4771832890
