,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4362469788,1,42,109,1,67,19,29,47,39,35,11
1,4362465398,1,109,2,25,98,45,1,14,50,75,27
2,4362465009,0,1,41,83,114,31,11,65,46,3,103
3,4362463617,1,10,72,82,38,14,94,70,1,57,21
4,4362463586,1,14,93,4,74,99,44,35,54,28,1
5,4362459730,1,41,13,29,37,109,47,67,61,84,1
6,4362459429,1,94,35,4,14,26,19,42,1,82,58
7,4362459427,1,1,37,58,22,9,86,12,49,89,8
8,4362457725,1,63,110,57,42,10,41,1,83,3,48
9,4362457528,0,1,62,70,40,21,67,32,27,75,22
10,4362456658,1,95,6,26,1,22,42,7,54,81,4
11,4362456580,1,21,1,35,5,104,17,29,49,85,7
12,4362454382,1,1,10,36,41,38,7,6,95,86,74
13,4362454054,1,86,44,21,66,101,38,42,114,1,27
14,4362453815,0,26,108,66,8,35,1,83,18,23,10
15,4362452509,1,94,14,75,72,31,86,104,74,1,99
16,4362452072,0,62,26,35,1,100,48,95,14,99,42
17,4362451303,1,30,8,53,56,99,93,47,95,1,63
18,4362449696,0,26,20,11,6,1,23,93,14,32,2
19,4362447992,1,3,72,34,32,107,11,21,10,1,101
20,4362447795,1,8,1,70,54,5,102,101,53,33,56
21,4362446792,1,4,41,22,40,18,70,39,1,5,13
22,4362446605,1,95,104,10,19,6,4,28,11,50,1
23,4362446600,0,32,49,48,51,34,1,7,66,83,20
24,4362445921,0,29,7,9,23,1,93,54,44,45,121
25,4362445428,0,14,106,96,1,27,35,51,8,85,23
26,4362444673,0,34,23,108,110,85,11,14,109,1,86
27,4362444517,1,1,8,93,50,19,94,44,43,6,38
28,4362443368,0,33,1,110,28,93,30,26,64,13,71
29,4362442881,1,66,80,26,83,1,36,6,32,18,14
30,4362442264,1,11,9,23,42,21,64,14,1,93,8
31,4362442199,1,31,121,74,11,1,99,38,8,107,14
32,4362442119,0,87,52,1,73,75,101,74,56,111,98
33,4362442117,1,23,90,2,76,103,109,31,1,63,12
34,4362441972,0,74,76,14,101,28,1,26,99,8,121
35,4362440780,1,31,114,42,26,94,60,29,37,44,1
36,4362440640,1,67,101,90,31,95,54,26,1,86,94
37,4362440589,1,44,2,21,17,1,15,42,93,28,5
38,4362440245,1,6,56,15,107,8,105,91,62,59,1
39,4362440127,1,27,14,1,23,68,80,34,26,93,67
40,4362439694,1,21,1,26,113,78,2,35,88,93,14
41,4362439656,1,26,27,1,23,41,114,54,35,8,100
42,4362439454,1,52,60,121,28,1,8,6,21,9,62
43,4362439189,1,85,78,53,20,59,103,101,34,31,1
44,4362439042,1,28,35,34,83,44,66,107,1,2,102
45,4362438742,1,14,9,22,95,93,86,1,44,83,23
46,4362438685,1,4,105,67,12,34,1,42,7,30,32
47,4362438425,0,1,109,35,44,72,98,108,62,8,14
