,match_id
0,4728208366
1,4728198466
2,4728194863
3,4728191695
4,4728188654
5,4728187863
6,4728184950
7,4728184358
8,4728183065
9,4728182332
10,4728182180
11,4728181031
12,4728180923
13,4728180549
14,4728180330
15,4728179994
16,4728179965
17,4728179889
18,4728179655
19,4728179546
20,4728179063
21,4728178786
22,4728177502
23,4728177191
24,4728176547
25,4728175831
26,4728175772
27,4728175586
28,4728175377
29,4728174960
30,4728174785
31,4728174753
32,4728174750
33,4728174525
34,4728174450
35,4728174263
36,4728173802
37,4728173440
38,4728173225
39,4728172660
40,4728171728
41,4728171129
42,4728171125
43,4728170134
44,4728169990
45,4728169812
46,4728169599
47,4728169511
48,4728169316
49,4728168718
50,4728167915
51,4728167881
52,4728167663
53,4728167423
54,4728167373
55,4728167372
56,4728166990
57,4728166928
58,4728166639
59,4728166487
60,4728166398
61,4728166250
62,4728165772
63,4728165300
64,4728164600
65,4728164568
66,4728164527
67,4728164455
68,4728164430
69,4728164079
70,4728163845
71,4728163696
72,4728163540
73,4728163250
74,4728163087
75,4728162702
76,4728162700
77,4728162359
78,4728162332
79,4728162176
80,4728161989
81,4728161524
82,4728161315
83,4728161153
84,4728161148
85,4728161095
86,4728161069
87,4728161012
88,4728160890
89,4728160854
90,4728160783
91,4728160688
92,4728160425
93,4728160398
94,4728160189
95,4728160187
96,4728160039
97,4728159418
98,4728159242
99,4728159145
100,4728159007
101,4728158947
102,4728158883
103,4728158879
104,4728158845
105,4728158635
106,4728158606
107,4728158403
108,4728158337
109,4728158332
110,4728158222
111,4728158185
112,4728158038
113,4728157878
114,4728157833
115,4728157817
116,4728157775
117,4728157648
118,4728157555
119,4728157455
120,4728157122
121,4728156959
122,4728156812
123,4728156580
124,4728156511
125,4728156377
126,4728156340
127,4728156276
128,4728155636
129,4728155629
130,4728155602
131,4728155569
132,4728155198
133,4728155065
134,4728155062
135,4728154776
136,4728154741
137,4728154702
138,4728154636
139,4728154416
140,4728154253
141,4728153770
142,4728153743
143,4728153675
144,4728153674
145,4728153395
146,4728153393
147,4728153361
148,4728153271
149,4728153241
150,4728152976
151,4728152843
152,4728152839
153,4728152723
154,4728152683
155,4728152630
156,4728152590
157,4728152374
158,4728152244
159,4728152132
160,4728151788
161,4728151677
162,4728151582
163,4728151578
164,4728151555
165,4728151147
166,4728151141
167,4728151118
168,4728151020
169,4728150905
170,4728150733
171,4728150711
172,4728150638
173,4728150601
174,4728150481
175,4728150477
176,4728150307
177,4728150301
178,4728150262
179,4728150185
180,4728149995
181,4728149897
182,4728149802
183,4728149709
184,4728149605
185,4728149520
186,4728149347
187,4728149285
188,4728149045
189,4728148969
190,4728148940
191,4728148939
192,4728148797
193,4728148704
194,4728148679
195,4728148580
196,4728148579
197,4728148394
198,4728148327
199,4728148289
200,4728148244
201,4728148219
202,4728147982
203,4728147971
204,4728147884
205,4728147755
206,4728147754
207,4728147711
208,4728147646
209,4728147549
210,4728147515
211,4728147236
212,4728147178
213,4728147146
214,4728147058
215,4728147029
216,4728146951
217,4728146920
218,4728146890
219,4728146864
220,4728146769
221,4728146734
222,4728146663
223,4728146659
224,4728146573
225,4728146473
226,4728146413
227,4728146364
228,4728146311
229,4728146276
230,4728146275
231,4728146273
232,4728146197
233,4728145750
234,4728145547
235,4728145476
236,4728145377
237,4728145279
238,4728144789
239,4728144726
240,4728144659
241,4728144381
242,4728144345
243,4728144340
244,4728144306
245,4728144304
246,4728144279
247,4728143950
248,4728143886
249,4728143729
250,4728143616
251,4728143541
252,4728143466
253,4728143440
254,4728143348
255,4728143051
256,4728142693
257,4728142585
258,4728142503
259,4728142471
260,4728142470
261,4728142468
262,4728142360
263,4728142332
264,4728142298
265,4728142266
266,4728142198
267,4728142196
268,4728142138
269,4728142107
270,4728142102
271,4728142020
272,4728141892
273,4728141836
274,4728141798
275,4728141773
276,4728141704
277,4728141666
278,4728141630
279,4728141539
280,4728141538
281,4728141437
282,4728141371
283,4728141349
284,4728141204
285,4728141067
286,4728140977
287,4728140942
288,4728140847
289,4728140751
290,4728140683
291,4728140616
292,4728140583
293,4728140578
294,4728140541
295,4728140439
296,4728140342
297,4728140271
298,4728139933
299,4728139833
300,4728139748
301,4728139716
302,4728139689
303,4728139527
304,4728139501
305,4728139456
306,4728139402
307,4728139242
308,4728139241
309,4728139173
310,4728139116
311,4728139029
312,4728138996
313,4728138966
314,4728138837
315,4728138811
316,4728138737
317,4728138697
318,4728138663
319,4728138629
320,4728138574
321,4728138542
322,4728138466
323,4728138461
324,4728138416
325,4728138410
326,4728138333
327,4728138330
328,4728138067
329,4728138038
330,4728138037
331,4728138036
332,4728138009
333,4728137981
334,4728137957
335,4728137935
336,4728137933
337,4728137930
338,4728137774
339,4728137772
340,4728137553
341,4728137488
342,4728137159
343,4728137124
344,4728137088
345,4728137030
346,4728136961
347,4728136934
348,4728136894
349,4728136744
350,4728136743
351,4728136708
352,4728136707
353,4728136605
354,4728136436
355,4728136434
356,4728136346
357,4728136310
358,4728136307
359,4728136201
360,4728136170
361,4728135961
362,4728135784
363,4728135652
364,4728135649
365,4728135626
366,4728135566
367,4728135322
368,4728135188
369,4728135152
370,4728135125
371,4728135081
372,4728135004
373,4728134966
374,4728134937
375,4728134832
376,4728134700
377,4728134637
378,4728134607
379,4728134561
380,4728134407
381,4728134405
382,4728134312
383,4728134280
384,4728134247
385,4728134240
386,4728134239
387,4728133990
388,4728133693
389,4728133661
390,4728133657
391,4728133471
392,4728133470
393,4728133469
394,4728133466
395,4728133439
396,4728133402
397,4728133238
398,4728133229
399,4728133194
400,4728133137
401,4728133136
402,4728133068
403,4728133039
404,4728133009
405,4728132976
406,4728132975
407,4728132954
408,4728132894
409,4728132716
410,4728132710
411,4728132679
412,4728132625
413,4728132592
414,4728132557
415,4728132483
416,4728132480
417,4728132349
418,4728132224
419,4728132223
420,4728132191
421,4728132185
422,4728132151
423,4728132090
424,4728131859
425,4728131789
426,4728131764
427,4728131762
428,4728131614
429,4728131584
430,4728131354
431,4728131287
432,4728131188
433,4728131135
434,4728131075
435,4728131046
436,4728130971
437,4728130901
438,4728130895
439,4728130866
440,4728130834
441,4728130767
442,4728130670
443,4728130641
444,4728130599
445,4728130566
446,4728130501
447,4728130500
448,4728130449
449,4728130442
450,4728130363
451,4728130362
452,4728130361
453,4728130336
454,4728130334
455,4728130300
456,4728130296
457,4728130273
458,4728130272
459,4728130244
460,4728130207
461,4728130126
462,4728130072
463,4728130070
464,4728130001
465,4728129972
466,4728129906
467,4728129905
468,4728129704
469,4728129702
470,4728129674
471,4728129667
472,4728129604
473,4728129537
474,4728129500
475,4728129384
476,4728129314
477,4728129277
478,4728129275
479,4728129252
480,4728129162
481,4728129161
482,4728129124
483,4728129122
484,4728129091
485,4728129018
486,4728128945
487,4728128944
488,4728128905
489,4728128899
490,4728128853
491,4728128803
492,4728128800
493,4728128665
494,4728128636
495,4728128608
496,4728128584
497,4728128582
498,4728128526
499,4728199340
500,4728192992
501,4728185568
502,4728185494
503,4728184098
504,4728183659
505,4728182864
506,4728178518
507,4728178337
508,4728177875
509,4728177871
510,4728177747
511,4728176973
512,4728176699
513,4728175867
514,4728175526
515,4728175445
516,4728175053
517,4728174451
518,4728174323
519,4728173165
520,4728173087
521,4728172596
522,4728172037
523,4728171090
524,4728170530
525,4728169412
526,4728169133
527,4728168923
528,4728168776
529,4728168111
530,4728167849
531,4728167670
532,4728167374
533,4728166988
534,4728166895
535,4728166182
536,4728166180
537,4728165826
538,4728165769
539,4728165718
540,4728165683
541,4728165504
542,4728165476
543,4728164857
544,4728164773
545,4728164654
546,4728164533
547,4728164462
548,4728163982
549,4728163050
550,4728161875
551,4728161404
552,4728161345
553,4728161070
554,4728160858
555,4728160787
556,4728160430
557,4728160031
558,4728159474
559,4728159417
560,4728159415
561,4728159388
562,4728159330
563,4728158949
564,4728158539
565,4728158336
566,4728158158
567,4728158071
568,4728158033
569,4728157966
570,4728157834
571,4728157814
572,4728157781
573,4728157777
574,4728157749
575,4728157719
576,4728157691
577,4728157688
578,4728157376
579,4728157282
580,4728157158
581,4728157064
582,4728157028
583,4728156999
584,4728156741
585,4728156440
586,4728156307
587,4728156211
588,4728155663
589,4728155475
590,4728155441
591,4728155414
592,4728155000
593,4728154911
594,4728154736
595,4728154477
596,4728154333
597,4728154232
598,4728153855
599,4728153854
600,4728153672
601,4728153469
602,4728152973
603,4728152836
604,4728152772
605,4728152770
606,4728152720
607,4728152130
608,4728152104
609,4728151949
610,4728151680
611,4728151519
612,4728151177
613,4728150831
614,4728150820
615,4728150604
616,4728150541
617,4728150450
618,4728150344
619,4728150093
620,4728150026
621,4728149711
622,4728149519
623,4728149368
624,4728149131
625,4728149098
626,4728148876
627,4728148795
628,4728148510
629,4728148388
630,4728148214
631,4728148123
632,4728147972
633,4728147831
634,4728147644
635,4728147569
636,4728147485
637,4728147180
638,4728146732
639,4728146699
640,4728146530
641,4728146501
642,4728146448
643,4728146355
644,4728146228
645,4728146196
646,4728146075
647,4728146006
648,4728145998
649,4728145928
650,4728145906
651,4728145873
652,4728145844
653,4728145810
654,4728145540
655,4728145514
656,4728144990
657,4728144989
658,4728144895
659,4728144832
660,4728144694
661,4728144620
662,4728144585
663,4728144526
664,4728144521
665,4728144168
666,4728144141
667,4728144136
668,4728144111
669,4728144017
670,4728143810
671,4728143773
672,4728143771
673,4728143664
674,4728143413
675,4728143374
676,4728143346
677,4728143088
678,4728143042
679,4728143040
680,4728142971
681,4728142967
682,4728142935
683,4728142800
684,4728142765
685,4728142764
686,4728142694
687,4728142546
688,4728142429
689,4728142395
690,4728142394
691,4728142262
692,4728141993
693,4728141961
694,4728141890
695,4728141835
696,4728141740
697,4728141738
698,4728141664
699,4728141599
700,4728141598
701,4728141577
702,4728141573
703,4728141322
704,4728141230
705,4728141194
706,4728140484
707,4728140304
708,4728140237
709,4728140177
710,4728140172
711,4728140068
712,4728139893
713,4728139806
714,4728139754
715,4728139751
716,4728139747
717,4728139690
718,4728139623
719,4728139588
720,4728139406
721,4728139317
722,4728139291
723,4728139288
724,4728139268
725,4728139244
726,4728139235
727,4728139179
728,4728139117
729,4728139080
730,4728138950
731,4728138947
732,4728138907
733,4728138702
734,4728138633
735,4728138434
736,4728138299
737,4728138267
738,4728138234
739,4728138208
740,4728138203
741,4728138202
742,4728137982
743,4728137895
744,4728137775
745,4728137486
746,4728137326
747,4728137228
748,4728137120
749,4728136738
750,4728136137
751,4728135991
752,4728135957
753,4728135956
754,4728135953
755,4728135920
756,4728135918
757,4728135785
758,4728135782
759,4728135757
760,4728135711
761,4728135678
762,4728135621
763,4728135571
764,4728135507
765,4728135504
766,4728135502
767,4728135314
768,4728135277
769,4728135218
770,4728135086
771,4728135061
772,4728134997
773,4728134900
774,4728134833
775,4728134738
776,4728134608
777,4728134604
778,4728134534
779,4728134508
780,4728134506
781,4728134038
782,4728134034
783,4728133996
784,4728133825
785,4728133792
