,match_id,radiant_win,radiant_heroes0,dire_heroes0,radiant_heroes1,dire_heroes1,radiant_heroes2,dire_heroes2,radiant_heroes3,dire_heroes3,radiant_heroes4,dire_heroes4
0,4322600547,1,101,81,78,54,8,1,121,82,18,119
1,4322598232,1,61,36,66,95,16,37,33,1,44,42
2,4322598230,1,62,54,65,20,93,36,59,1,92,18
3,4322597591,1,41,26,113,35,31,95,4,1,11,34
4,4322597181,1,44,1,93,119,95,87,6,52,58,57
5,4322597114,1,21,4,26,1,11,37,121,54,102,62
6,4322596346,1,10,73,104,1,56,95,5,109,29,14
7,4322595822,0,79,1,21,14,109,8,48,35,72,44
8,4322594769,0,73,121,35,8,2,14,32,21,1,64
9,4322594380,1,59,17,95,7,108,1,26,28,43,45
10,4322594023,0,40,1,52,25,104,50,85,114,26,113
11,4322594004,0,17,93,35,95,81,8,14,1,114,26
12,4322593937,1,1,99,39,19,21,41,84,48,50,14
13,4322593857,1,107,26,114,101,1,82,121,17,58,111
14,4322593713,0,8,4,26,6,11,84,1,112,10,120
15,4322593546,1,44,86,1,104,41,75,27,108,99,2
16,4322593363,1,73,59,48,70,27,34,1,99,20,5
17,4322593344,1,74,1,6,93,60,8,28,95,7,86
18,4322593135,0,63,86,38,41,85,88,6,1,67,53
19,4322592951,0,9,89,94,1,22,44,62,13,51,64
20,4322592927,0,71,40,1,93,5,63,21,60,45,74
21,4322592918,0,95,86,35,78,36,1,105,53,99,26
22,4322592811,0,26,14,44,1,34,33,86,11,97,87
23,4322592385,1,93,1,7,10,42,85,14,62,19,111
24,4322592270,0,100,11,73,23,81,36,95,27,8,1
25,4322592261,1,60,20,35,7,14,46,4,1,44,114
26,4322592070,1,1,108,14,75,21,31,10,26,101,41
27,4322591743,0,44,69,34,7,14,1,121,82,110,68
28,4322591578,1,33,44,94,86,14,4,23,35,104,1
29,4322591274,1,82,10,53,114,1,26,18,7,8,14
30,4322591213,0,99,1,84,50,62,104,93,2,106,26
31,4322591193,1,34,1,21,22,39,60,99,86,41,101
32,4322591141,1,30,32,1,14,74,100,114,41,93,113
33,4322591138,0,5,1,53,22,86,93,2,10,14,60
34,4322591057,1,114,52,26,104,1,27,23,21,16,44
